id,term,english,category,alphabet_index,korean_initial,definition,detailed_explanation,related_concepts,source_files,exam_note,known_status,last_reviewed,review_count
CS-011,API 게이트웨이,API Gateway,클라우드·분산시스템,A,A,"클라이언트 요청을 여러 백엔드 서비스로 라우팅하고 인증, 제한, 로깅을 수행하는 진입점입니다.","의미: API 게이트웨이는 여러 서비스가 느슨하게 연결되어 통신하고 확장되도록 만드는 아키텍처 개념입니다. 동기 호출인지 비동기 메시징인지, 장애가 어떻게 전파되는지 봐야 합니다. 동작/활용: 실무에서는 장애가 발생해도 서비스가 계속 동작하도록 확장, 복구, 배포, 관측 구조를 설계하는 데 쓰입니다.","[[서버리스]], [[마이크로서비스]], [[서비스 메시]], [[분산 시스템]], [[컨테이너]]",보강 개념(페이지 직접 언급 없음),"클라우드·분산시스템 문제에서는 API 게이트웨이의 정의만 쓰지 말고 관련 개념(서버리스, 마이크로서비스, 서비스 메시)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-012,API 경제,API Economy,금융IT·신기술,A,A,조직의 기능과 데이터를 API로 개방·연계해 새로운 서비스와 생태계를 만드는 경제 구조입니다.,"의미: API 경제는 금융 업무나 규제 준수, 고객 서비스를 기술로 자동화·고도화하는 개념입니다. 효율성 향상과 규제·보안 리스크를 함께 판단해야 합니다. 동작/활용: 실무에서는 금융 안정성, 보안, 규제 준수, 이용자 보호와 기술 효율성을 함께 판단하는 기준이 됩니다.","[[메타버스]], [[RPA]], [[오픈 API]], [[양자컴퓨팅]], [[전자금융]]",보강 개념(페이지 직접 언급 없음),"금융IT·신기술 문제에서는 API 경제의 정의만 쓰지 말고 관련 개념(메타버스, RPA, 오픈 API)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-013,ARP,ARP,네트워크,A,A,IPv4 주소에 대응하는 MAC 주소를 알아내기 위한 주소 결정 프로토콜입니다.,"의미: ARP는 패킷이 출발지에서 목적지까지 도달하도록 주소를 정하고 경로를 찾는 데 쓰이는 개념입니다. 같은 네트워크 안의 전달인지, 다른 네트워크로의 전달인지 구분해야 합니다. 동작/활용: 실무에서는 장애 구간을 계층별로 분리하고 패킷 흐름, 주소 변환, 연결 상태, 암호화 여부를 확인할 때 사용됩니다.","[[이더넷]], [[MAC 주소]], [[RARP]], [[IP]], [[TCP]]",05-14-10-한국은행-2024-컴퓨터공학-학술-파트-I.md; 04-04-네트워크-프로토콜-보안.md; 05-14-한국은행-기출.md,"네트워크 문제에서는 ARP의 정의만 쓰지 말고 관련 개념(이더넷, MAC 주소, RARP)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-014,ARP 스푸핑,ARP Spoofing,보안,A,A,LAN에서 ARP 응답을 위조해 공격자의 MAC 주소를 게이트웨이나 피해자 주소로 속이는 공격입니다.,"의미: ARP 스푸핑은 공격자가 어떤 신뢰 관계나 입력 지점, 네트워크 약점을 악용하는지 설명하는 위협 개념입니다. 피해 경로와 차단 지점을 함께 파악해야 합니다. 동작/활용: 실무에서는 공격 표면을 줄이고 사고를 예방·탐지·대응하기 위한 통제와 점검 항목으로 연결됩니다.","[[SYN Flood]], [[스머프 공격]], [[DNS 스푸핑]], [[중간자 공격]], [[인증]]",05-14-10-한국은행-2024-컴퓨터공학-학술-파트-I.md; 04-04-네트워크-프로토콜-보안.md,"보안 문제에서는 ARP 스푸핑의 정의만 쓰지 말고 관련 개념(SYN Flood, 스머프 공격, DNS 스푸핑)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-015,배열,Array,자료구조·알고리즘,A,ㅂ,같은 타입 원소를 연속된 메모리에 저장해 인덱스로 O(1)에 접근하는 선형 자료구조입니다.,"의미: 배열은 데이터를 어떤 모양으로 저장해야 삽입, 삭제, 탐색, 순회가 효율적인지 결정하는 자료 표현 방식입니다. 연산별 비용과 메모리 사용 특성을 함께 봐야 합니다. 동작/활용: 실무와 시험에서는 입력 크기, 시간복잡도, 공간복잡도, 구현 난이도를 비교해 적절한 방법을 선택하는 기준이 됩니다.","[[자료구조]], [[연결 리스트]], [[단일 연결 리스트]], [[시간 복잡도]], [[공간 복잡도]]",05-14-06-한국은행-2022-컴퓨터공학-학술-파트-I.md; 05-09-운영체제-기출-모음.md; 05-08-산업은행-기출.md,"자료구조·알고리즘 문제에서는 배열의 정의만 쓰지 말고 관련 개념(자료구조, 연결 리스트, 단일 연결 리스트)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-016,비대칭키 암호화,Asymmetric Encryption,보안,A,ㅂ,"공개키와 개인키 한 쌍을 사용해 암호화, 키 교환, 전자서명을 수행하는 암호 방식입니다.","의미: 비대칭키 암호화는 데이터를 숨기거나 변조 여부와 신원을 확인하기 위한 암호·인증 기술입니다. 기밀성, 무결성, 인증 중 어떤 보안 속성을 제공하는지 구분해야 합니다. 동작/활용: 실무에서는 공격 표면을 줄이고 사고를 예방·탐지·대응하기 위한 통제와 점검 항목으로 연결됩니다.","[[공개키 기반구조]], [[대칭키 암호화]], [[AES]], [[RSA]], [[인증]]",보강 개념(페이지 직접 언급 없음),"보안 문제에서는 비대칭키 암호화의 정의만 쓰지 말고 관련 개념(공개키 기반구조, 대칭키 암호화, AES)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-017,어텐션,Attention,인공지능·데이터,A,ㅇ,입력 요소들 중 현재 예측에 중요한 요소에 더 큰 가중치를 주는 메커니즘입니다.,"의미: 어텐션은 원시 데이터를 모델이 이해할 수 있는 형태로 바꾸거나 데이터 안의 의미 있는 패턴을 찾는 분석 개념입니다. 데이터 표현 방식이 결과 품질을 좌우합니다. 동작/활용: 실무에서는 데이터 준비, 모델 학습, 성능 평가, 운영 중 모니터링과 리스크 관리 기준으로 쓰입니다.","[[LSTM]], [[Transformer]], [[임베딩]], [[자연어 처리]], [[머신러닝]]",보강 개념(페이지 직접 언급 없음),"인공지능·데이터 문제에서는 어텐션의 정의만 쓰지 말고 관련 개념(LSTM, Transformer, 임베딩)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-018,속성,Attribute,데이터베이스,A,ㅅ,릴레이션에서 열을 의미하며 개체가 가지는 하나의 성질이나 항목입니다.,"의미: 속성은 관계형 데이터 모델에서 데이터를 어떤 단위로 표현하고 제약을 어떻게 유지할지 설명하는 기본 개념입니다. 행·열·값·구조 중 어느 층위를 말하는지 구분하는 것이 핵심입니다. 동작/활용: 실무에서는 테이블 설계, SQL 작성, 인덱스 튜닝, 트랜잭션 처리, 장애 복구에서 이 개념이 직접 사용됩니다.","[[릴레이션]], [[튜플]], [[도메인]], [[차수]], [[SQL]]",05-14-06-한국은행-2022-컴퓨터공학-학술-파트-I.md; 05-08-산업은행-기출.md; 07-01-01-릴레이션-튜플-속성.md,"데이터베이스 문제에서는 속성의 정의만 쓰지 말고 관련 개념(릴레이션, 튜플, 도메인)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-019,인증,Authentication,보안,A,ㅇ,"사용자, 시스템, 장치가 주장하는 신원이 실제인지 확인하는 절차입니다.",의미: 인증은 누가 어떤 자원에 접근할 수 있는지를 확인하고 제한하는 권한 관리 개념입니다. 신원 확인과 권한 부여를 분리해서 이해하는 것이 중요합니다. 동작/활용: 실무에서는 공격 표면을 줄이고 사고를 예방·탐지·대응하기 위한 통제와 점검 항목으로 연결됩니다.,"[[무결성]], [[가용성]], [[인가]], [[접근통제]], [[암호화]]",05-05-SGI서울보증-기출.md; 10-03-01-XSS-SQL-Injection.md; 05-01-우리은행-기출.md,"보안 문제에서는 인증의 정의만 쓰지 말고 관련 개념(무결성, 가용성, 인가)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-020,인가,Authorization,보안,A,ㅇ,인증된 주체에게 어떤 자원과 기능을 사용할 권한이 있는지 결정하고 허용하는 절차입니다.,의미: 인가는 누가 어떤 자원에 접근할 수 있는지를 확인하고 제한하는 권한 관리 개념입니다. 신원 확인과 권한 부여를 분리해서 이해하는 것이 중요합니다. 동작/활용: 실무에서는 공격 표면을 줄이고 사고를 예방·탐지·대응하기 위한 통제와 점검 항목으로 연결됩니다.,"[[가용성]], [[인증]], [[접근통제]], [[DAC]], [[암호화]]",05-08-산업은행-기출.md; 07-02-00-정규화.md; 05-05-SGI서울보증-기출.md,"보안 문제에서는 인가의 정의만 쓰지 말고 관련 개념(가용성, 인증, 접근통제)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-021,가용성,Availability,보안,A,ㄱ,인가된 사용자가 필요할 때 정보와 서비스를 정상적으로 이용할 수 있게 하는 보안 속성입니다.,의미: 가용성은 정보 자산을 보호하기 위해 공격 가능성과 방어 통제를 함께 설명하는 보안 개념입니다. 어떤 보안 속성을 지키는지가 핵심입니다. 동작/활용: 실무에서는 공격 표면을 줄이고 사고를 예방·탐지·대응하기 위한 통제와 점검 항목으로 연결됩니다.,"[[기밀성]], [[무결성]], [[인증]], [[인가]], [[암호화]]",04-02-프로그래밍-SQL-분산-클라우드.md; 19-1-코스콤-자소서.md; 05-01-우리은행-기출.md,"보안 문제에서는 가용성의 정의만 쓰지 말고 관련 개념(기밀성, 무결성, 인증)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-022,AVL 트리,AVL Tree,자료구조·알고리즘,A,A,각 노드의 왼쪽과 오른쪽 서브트리 높이 차이를 1 이하로 유지하는 자가 균형 이진 탐색 트리입니다.,"의미: AVL 트리는 데이터를 어떤 모양으로 저장해야 삽입, 삭제, 탐색, 순회가 효율적인지 결정하는 자료 표현 방식입니다. 연산별 비용과 메모리 사용 특성을 함께 봐야 합니다. 동작/활용: 실무와 시험에서는 입력 크기, 시간복잡도, 공간복잡도, 구현 난이도를 비교해 적절한 방법을 선택하는 기준이 됩니다.","[[이진 트리]], [[이진 탐색 트리]], [[레드블랙 트리]], [[B-트리]], [[시간 복잡도]]",보강 개념(페이지 직접 언급 없음),"자료구조·알고리즘 문제에서는 AVL 트리의 정의만 쓰지 말고 관련 개념(이진 트리, 이진 탐색 트리, 레드블랙 트리)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-023,오픈 API,Open API,금융IT·신기술,A,ㅇ,외부 개발자가 정해진 규약에 따라 서비스 기능이나 데이터에 접근할 수 있게 공개한 API입니다.,"의미: 오픈 API는 금융 업무나 규제 준수, 고객 서비스를 기술로 자동화·고도화하는 개념입니다. 효율성 향상과 규제·보안 리스크를 함께 판단해야 합니다. 동작/활용: 실무에서는 금융 안정성, 보안, 규제 준수, 이용자 보호와 기술 효율성을 함께 판단하는 기준이 됩니다.","[[RPA]], [[API 경제]], [[양자컴퓨팅]], [[양자내성암호]], [[전자금융]]",보강 개념(페이지 직접 언급 없음),"금융IT·신기술 문제에서는 오픈 API의 정의만 쓰지 말고 관련 개념(RPA, API 경제, 양자컴퓨팅)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-024,B+트리,B+ Tree,데이터베이스,B,B,실제 데이터 포인터를 리프 노드에 모으고 리프를 연결해 범위 검색에 강한 트리 인덱스 구조입니다.,"의미: B+트리는 테이블 전체를 매번 훑지 않고 원하는 행을 더 빨리 찾기 위한 접근 경로 또는 그 구조입니다. 조회 속도 향상과 저장·갱신 비용 증가 사이의 균형을 이해해야 합니다. 동작/활용: 실무에서는 테이블 설계, SQL 작성, 인덱스 튜닝, 트랜잭션 처리, 장애 복구에서 이 개념이 직접 사용됩니다.","[[인덱스]], [[B-트리]], [[해시 인덱스]], [[클러스터드 인덱스]], [[SQL]]",05-08-산업은행-기출.md,"데이터베이스 문제에서는 B+트리의 정의만 쓰지 말고 관련 개념(인덱스, B-트리, 해시 인덱스)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-025,B-트리,B- Tree,데이터베이스,B,B,균형 다진 탐색 트리로 노드에 여러 키를 저장해 디스크 접근을 줄이는 인덱스 구조입니다.,"의미: B-트리는 테이블 전체를 매번 훑지 않고 원하는 행을 더 빨리 찾기 위한 접근 경로 또는 그 구조입니다. 조회 속도 향상과 저장·갱신 비용 증가 사이의 균형을 이해해야 합니다. 동작/활용: 실무에서는 테이블 설계, SQL 작성, 인덱스 튜닝, 트랜잭션 처리, 장애 복구에서 이 개념이 직접 사용됩니다.","[[체크포인트]], [[인덱스]], [[B+트리]], [[해시 인덱스]], [[SQL]]",보강 개념(페이지 직접 언급 없음),"데이터베이스 문제에서는 B-트리의 정의만 쓰지 말고 관련 개념(체크포인트, 인덱스, B+트리)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-026,역전파,Backpropagation,인공지능·데이터,B,ㅇ,출력층의 오차를 뒤쪽 계층에서 앞쪽 계층으로 전파하며 각 가중치의 기울기를 계산하는 알고리즘입니다.,"의미: 역전파는 모델을 학습시키는 과정에서 성능을 높이거나 일반화 실패를 막기 위해 조절하는 최적화 개념입니다. 학습 데이터 성능과 새 데이터 성능의 차이를 함께 봐야 합니다. 동작/활용: 실무에서는 데이터 준비, 모델 학습, 성능 평가, 운영 중 모니터링과 리스크 관리 기준으로 쓰입니다.","[[학습률]], [[손실 함수]], [[특성 공학]], [[데이터 전처리]], [[머신러닝]]",04-01-빅데이터-블록체인-머신러닝.md; 05-14-24-한국은행-2025-컴퓨터공학-학술-14-머신러닝.md,"인공지능·데이터 문제에서는 역전파의 정의만 쓰지 말고 관련 개념(학습률, 손실 함수, 특성 공학)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-027,BASE,BASE,클라우드·분산시스템,B,B,"분산 데이터 저장소에서 강한 ACID 대신 기본 가용성, 유연한 상태, 최종 일관성을 추구하는 성질입니다.","의미: BASE는 여러 노드에 데이터와 처리가 나뉘었을 때 정확성, 가용성, 장애 허용성 사이의 선택을 설명하는 분산 시스템 개념입니다. 네트워크 실패를 전제로 이해해야 합니다. 동작/활용: 실무에서는 장애가 발생해도 서비스가 계속 동작하도록 확장, 복구, 배포, 관측 구조를 설계하는 데 쓰입니다.","[[가용성]], [[분할 허용성]], [[최종 일관성]], [[복제]], [[분산 시스템]]",07-01-02-키와-무결성.md; 05-08-산업은행-기출.md; 07-01-01-릴레이션-튜플-속성.md,"클라우드·분산시스템 문제에서는 BASE의 정의만 쓰지 말고 관련 개념(가용성, 분할 허용성, 최종 일관성)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-028,BCNF,BCNF,데이터베이스,B,B,모든 결정자가 후보키가 되도록 강화한 정규형입니다.,"의미: BCNF는 관계형 데이터 모델에서 데이터를 어떤 단위로 표현하고 제약을 어떻게 유지할지 설명하는 기본 개념입니다. 행·열·값·구조 중 어느 층위를 말하는지 구분하는 것이 핵심입니다. 동작/활용: 실무에서는 테이블 설계, SQL 작성, 인덱스 튜닝, 트랜잭션 처리, 장애 복구에서 이 개념이 직접 사용됩니다.","[[제2정규형]], [[제3정규형]], [[함수 종속]], [[완전 함수 종속]], [[SQL]]",07-02-00-정규화.md; 07-02-02-이상현상과-함수종속.md; 04-05-자료구조-알고리즘-DB-금융IT.md,"데이터베이스 문제에서는 BCNF의 정의만 쓰지 말고 관련 개념(제2정규형, 제3정규형, 함수 종속)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-029,BFS,BFS,자료구조·알고리즘,B,B,시작 정점에서 가까운 정점부터 층별로 탐색하는 너비 우선 탐색 알고리즘입니다.,"의미: BFS는 문제를 어떤 순서와 전략으로 풀어 계산량을 줄일지 정하는 알고리즘 개념입니다. 완전 탐색보다 왜 빠르거나 어떤 조건에서 맞는 해를 보장하는지 보는 것이 중요합니다. 동작/활용: 실무와 시험에서는 입력 크기, 시간복잡도, 공간복잡도, 구현 난이도를 비교해 적절한 방법을 선택하는 기준이 됩니다.","[[인접 리스트]], [[DFS]], [[위상 정렬]], [[최단 경로]], [[시간 복잡도]]",05-08-산업은행-기출.md; 02-01-기본-전제와-일정.md; 05-13-알고리즘-기출-모음.md,"자료구조·알고리즘 문제에서는 BFS의 정의만 쓰지 말고 관련 개념(인접 리스트, DFS, 위상 정렬)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-030,BGP,BGP,네트워크,B,B,자율 시스템 간 경로 정보를 교환해 인터넷의 광역 라우팅을 수행하는 프로토콜입니다.,"의미: BGP는 패킷이 출발지에서 목적지까지 도달하도록 주소를 정하고 경로를 찾는 데 쓰이는 개념입니다. 같은 네트워크 안의 전달인지, 다른 네트워크로의 전달인지 구분해야 합니다. 동작/활용: 실무에서는 장애 구간을 계층별로 분리하고 패킷 흐름, 주소 변환, 연결 상태, 암호화 여부를 확인할 때 사용됩니다.","[[RIP]], [[OSPF]], [[NAT]], [[ICMP]], [[TCP]]",08-04-라우팅과-서브넷.md,"네트워크 문제에서는 BGP의 정의만 쓰지 말고 관련 개념(RIP, OSPF, NAT)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-031,빅데이터,Big Data,인공지능·데이터,B,ㅂ,"기존 도구로 처리하기 어려울 정도로 규모, 속도, 다양성이 큰 데이터와 그 처리 기술을 말합니다.","의미: 빅데이터는 원시 데이터를 모델이 이해할 수 있는 형태로 바꾸거나 데이터 안의 의미 있는 패턴을 찾는 분석 개념입니다. 데이터 표현 방식이 결과 품질을 좌우합니다. 동작/활용: 실무에서는 데이터 준비, 모델 학습, 성능 평가, 운영 중 모니터링과 리스크 관리 기준으로 쓰입니다.","[[이상치]], [[결측치]], [[3V]], [[데이터 마이닝]], [[머신러닝]]",04-IT-필기-핵심정리.md; 05-01-우리은행-기출.md; 05-03-대구은행-기출.md,"인공지능·데이터 문제에서는 빅데이터의 정의만 쓰지 말고 관련 개념(이상치, 결측치, 3V)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
CS-032,블랙박스 테스트,Black-box Test,소프트웨어공학,B,ㅂ,"내부 코드 구조를 보지 않고 입력과 출력, 기능 명세를 기준으로 수행하는 테스트 기법입니다.",의미: 블랙박스 테스트는 소프트웨어가 기대한 기능과 품질을 만족하는지 결함을 찾아 확인하는 검증 개념입니다. 무엇을 기준으로 테스트 케이스를 고르는지가 핵심 차입니다. 동작/활용: 실무에서는 변경 비용을 줄이고 결함을 조기에 발견하며 팀이 같은 구조와 절차로 개발하도록 돕습니다.,"[[시스템 테스트]], [[인수 테스트]], [[화이트박스 테스트]], [[경계값 분석]], [[테스트]]",05-08-산업은행-기출.md; 05-14-10-한국은행-2024-컴퓨터공학-학술-파트-I.md; 11-02-01-블랙박스와-화이트박스.md,"소프트웨어공학 문제에서는 블랙박스 테스트의 정의만 쓰지 말고 관련 개념(시스템 테스트, 인수 테스트, 화이트박스 테스트)과 비교·차이를 함께 쓰면 가점을 받기 쉽습니다.",,,0
